                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 2.1925,                 2.3714,                 2.3697,                 0.7282,                0.24505,                0.28254,                0.12202,                 2.5125,                 2.4048,                 2.5503,              0.0015003,              0.0015003,              0.0015003
                    104,                 2.0846,                 2.3346,                 2.2763,                0.39259,                0.28597,                0.27271,                0.10396,                 2.3619,                 2.4702,                 2.3973,              0.0014987,              0.0014987,              0.0014987
                    105,                 2.0849,                 2.2695,                 2.2723,                0.48618,                0.19444,                0.25732,                0.10735,                 2.3482,                 2.4712,                  2.417,               0.001497,               0.001497,               0.001497
                    106,                 2.1394,                 2.4585,                 2.3888,                0.20587,                0.13889,                0.15166,                0.06753,                 2.4307,                 2.5882,                 2.5023,              0.0014954,              0.0014954,              0.0014954
                    107,                 2.0265,                 2.1929,                  2.354,                0.36746,                0.19444,                0.23921,                0.11589,                 2.5117,                 3.0841,                 2.4787,              0.0014937,              0.0014937,              0.0014937
                    108,                 2.1291,                 2.2987,                 2.3351,                0.35415,                0.30556,                0.29295,                0.10911,                 2.3929,                 2.7712,                 2.3899,              0.0014921,              0.0014921,              0.0014921
                    109,                 2.0744,                 2.2861,                 2.2221,                 0.3288,                0.30556,                 0.2968,                0.12969,                  2.239,                 2.5574,                 2.3269,              0.0014904,              0.0014904,              0.0014904
                    110,                 2.1147,                 2.2245,                 2.2776,                0.23065,                0.13903,                0.17319,                0.07408,                 2.5482,                 2.8151,                 2.5679,              0.0014888,              0.0014888,              0.0014888
                    111,                 2.0269,                 2.1678,                 2.2775,                0.48714,                0.19444,                0.24559,                 0.0891,                  2.489,                 2.9328,                 2.6644,              0.0014871,              0.0014871,              0.0014871
                    112,                 2.1729,                 2.3377,                 2.4188,                0.25328,                0.30556,                0.26036,                0.11359,                 2.4994,                 2.3668,                 2.5623,              0.0014855,              0.0014855,              0.0014855
